nome	type	circle	school	execucao	alcance	alvo	area	duracao	resistencia	description	publicacao	addPM.1	text.1	addPM.2	text.2	addPM.3	text.3	addPM.4	text.4	addPM.5	text.5	addPM.6	text.6	addPM.7	text.7	addPM.8	text.8	addPM.9	text.9	addPM.10	text.10	addPM.11	text.11	addPM.12	text.12	addPM.13	text.13
Transformação em Dragão	Arcana	4	Trans	completa	pessoal	você		sustentada		Essa magia invoca o poder de um dragão, causando mutações no conjurador que o tornam semelhante a uma criatura dracônica. Você recebe +2 em Força, Constituição, Inteligência e Carisma (esse aumento não oferece PV, PM ou perícias adicionais), +5 na Defesa, e redução 30 contra o elemento do sopro do dragão do qual você utilizou o componente material. Uma vez por rodada, você pode gastar uma ação padrão para exalar um sopro que causa 8d6+8 pontos de dano do elemento correspondente em um cone de 9m (Reflexos reduz à metade).<br><i>Componente Material:</i> uma peça de couro de dragão ou uma escama de dragão no valor de T$ 1000.	Ameaças de Arton 1.0	2	aumenta o dano do sopro em +1d6+1.	2	aumenta o bônus na Defesa em +1.	6	além do normal, asas de couro brotam de suas costas. Você recebe deslocamento de voo 18m.	3	você recebe uma arma natural de mordida (1d6, crítico x2, corte). Uma vez por rodada, quando usa a ação agredir para atacar com outra arma, você pode gastar 1 PM para fazer um ataque corpo a corpo extra com a mordida. Se já possuir uma mordida, em vez disso seu dano aumenta em dois passos.	3	o bônus em atributos se torna +4.																
Katana Celestial	Divina	5	Evoc	padrão	pessoal		linha de 60m ou duas linhas de 30m	instantânea	Reflexos parcial	Um golpe vindo dos céus risca o campo de batalha. Se escolher duas linhas, cada uma deve seguir em uma direção diferente, criando um corte em “V”. Criaturas na área sofrem 12d8 pontos de dano de luz (ou 12d12, se forem mortos-vivos) e ficam cegas e surdas até o fim da cena (Reflexos reduz à metade e evita as condições).	Ameaças de Arton 1.0	3	aumenta o dano em +2d8 (ou +2d12 em mortos-vivos).	6	muda a área para uma linha de 120m ou quatro linhas de 30m em direções opostas, formando um “X”.																						
Preparação de Batalha	Universal	2	Conv	padrão	toque	dois itens, entre arma e armadura		permanente		Essa magia é muito utilizada por clérigos e bardos que não precisam (ou não podem) estar o tempo todo trajando suas armaduras e carregando armas. A magia é lançada sobre uma armadura e uma arma, que se tornam vinculadas à você. A partir daí, em qualquer momento, você pode usar uma ação completa para convocar a armadura e a arma, que aparecem magicamente sobre seu corpo e em suas mãos, cobrindo qualquer roupa que esteja vestindo no momento. O efeito é bastante espalhafatoso, sendo praticamente impossível utilizá-lo sem chamar atenção. A magia funciona independente da distância ou situação do equipamento invocado, contanto que ele esteja no mesmo plano.<br><i>Custo Adicional:</i> sacrifício de 1 PM.	Guia de NPCs	1	aumenta o número de alvos em dois e o custo adicional em 1 PM																								
Detonação Congelante	Arcana	1	Evoc	padrão	pessoal		esfera de 6m de raio	instantânea	Fortitude parcial	Você emite uma onda de frio extremo que cobre a área de gelo. Criaturas na área sofrem 2d6 pontos de dano de frio e ficam enredadas e imóveis por 1d4 rodadas. Passar no teste de resistência reduz o dano pela metade e deixa a criatura enredada por uma rodada. Uma criatura voadora que fica imóvel começa a cair no início do seu turno.	Dragão Brasil	1	aumenta o dano em +1d6.	2	muda a duração para sustentada. Ao invés do normal, você emite uma aura de frio constante em alcance curto. Uma criatura que entre na área ou inicie seu turno dentro dela sofre 2d6 pontos de dano de frio e fica enredada e imóvel por uma rodada. Passar no teste de resistência reduz o dano pela metade, evita a condição imóvel e faz com que a criatura não possa mais ficar imóvel por esta magia nesta cena. Requer 2º círculo.																						
Disparo Gélido	Arcana	1	Evoc	padrão	médio (30m 20q)	1 criatura		instantânea	Fortitude reduz à metade	Você dispara um dardo de neve e gelo contra o alvo, que causa 2d8+2 pontos de dano de frio.	Dragão Brasil	1	aumenta o dano em +1d8+1.	1	muda a resistência para Fortitude parcial. Se passar, a criatura reduz o dano à metade; se falhar, fica lenta até o final da cena.																						
Geiser Cáustico	Arcana	1	Evoc	padrão	médio (30m 20q)		cilindro de 3m de diâmetro e 3m de altura	instantânea	Fortitude reduz à metade	O solo explode em ácido corrosivo, causando 2d6 pontos de dano de ácido em todas as criaturas e objetos livres na área.	Dragão Brasil	1	aumenta o dano em +1d6.	2	além do normal, o solo continua borbulhando em ácido venenoso até o final da cena, tornando-se terreno difícil. Qualquer criatura que entre na área ou comece o turno dentro dela sofre 2d6 pontos de dano de ácido (sem direito a teste de resistência).																						
Nuvem Tempestuosa	Arcana	1	Conv	padrão	curto (9m 6q)		nuvem com 6m de raio	sustentada	Fortitude reduz à metade	Você cria uma nuvem espessa carregada com eletricidade que causa 2d8 pontos de dano elétrico a qualquer criatura no mesmo espaço. Você pode gastar uma ação de movimento para fazer a nuvem voar 6m em qualquer direção. Uma criatura só pode sofrer dano da nuvem uma vez por rodada. A nuvem é imune a dano e conta como uma criatura Pequena para qualquer efeito de vento.	Dragão Brasil	1	aumenta o dano em +1d8.	2	a nuvem também retumba com trovões. Além do normal, uma criatura que falhar no teste de Fortitude fica atordoada por 1 rodada. Se passar no teste, não pode mais ser atordoada por essa magia até o final da cena.																						
Controlar Ar	Divina	2	Trans	padrão	médio (30m 20q)		varia	cena	veja texto	Você pode controlar os movimentos e comportamentos de massas de ar. Ao lançar a magia, escolha um dos efeitos abaixo.<br><i>Ascender:</i> cria uma corrente de ar ascendente capaz de erguer do chão uma criatura ou objeto médio, fazendo o alvo ﬂutuar para cima e para baixo conforme sua vontade. Você pode gastar uma ação de movimento para subir ou descer o alvo até 6m por rodada, até um máximo de 30m de altura. Você não pode mover o alvo horizontalmente — mas o alvo pode, por exemplo, escalar uma colina ou se apoiar no teto para mover-se lateralmente (com metade de seu deslocamento normal). Uma criatura levitando fica vulnerável e sofre –2 nas jogadas de ataque. Alvos involuntários tem direito a um teste de Fortitude no início de seu turno para negar o efeito. Derrubar um alvo flutuando (simplesmente parando a corrente de ar) causa o dano normal de queda, mas um alvo que passe no teste pode “nadar” para o chão contra a corrente. Você pode usar essa opção para fazer uma manobra derrubar contra uma criatura voadora dentro do alcance, usando seu atributo-chave no lugar de Força.<br><i>Sopro:</i> cria uma lufada de vento a partir de suas mãos, que empurra qualquer criatura Média ou menor em um cone de 4,5m — faça uma manobra empurrar usando seu atributo-chave ao invés de força, usando o mesmo resultado de sua rolagem para todos os alvos. A lufada de vento também faz qualquer coisa que um vento forte e súbito faria, como levantar pó, dispersar vapores, apagar chamas, espalhar papéis ou mover uma embarcação. Manter o sopro ativo exige uma ação padrão.<br><i>Vento:</i> cria uma área de vento forte (Tormenta20 página 253) dentro do alcance da magia. Se lançada numa área que já esteja com algum efeito de vento, aumenta esse efeito em um passo. Manter o vento ativo requer uma ação de movimento. Você também pode usar essa opção para reduzir os efeitos de vento em uma área.	Dragão Brasil	2	aumenta o limite de tamanho de criaturas e objetos afetados em um passo.																								
Hálito Peçonhento	Universal	3	Evoc	padrão	pessoal		cone de 9m	instantânea	Fortitude parcial	Você sopra uma fumaça densa esverdeada de toxinas corrosivas que queima a pele e os olhos dos alvos. Criaturas na área sofrem 4d8 pontos de dano de ácido mais 4d8 pontos de dano de veneno e ficam cegas por 1d4+1 rodadas. Passar num teste de Fortitude reduz o dano pela metade e evita a cegueira.	Dragão Brasil	2	aumenta o dano de ácido em +1d8 e o dano de veneno em +1d8.																								
Impacto Fulminante	Arcana	3	Evoc	padrão	curto (9m 6q)	1 criatura		instantânea	Fortitude parcial	Você evoca um poderoso relâmpago dos céus que acerta o alvo com um clarão estrondoso. O alvo sofre 4d6 pontos de dano elétrico mais 4d6 pontos de dano de impacto e fica caído e atordoado por uma rodada. Se passar no teste de resistência, o alvo sofre metade do dano, evita as condições e não pode mais ser atordoado por essa magia até o fim da cena.	Dragão Brasil	2	aumenta o dano de eletricidade em +1d6 e o dano de impacto em +1d6.	4	muda o alvo para “criaturas escolhidas”. Requer 4º Círculo.																						
Toque Álgido	Arcana	3	Evoc	padrão	toque	1 criatura		instantânea	Fortitude parcial	Sua mão emite uma energia congelante que causa 6d8 pontos de dano de frio e recobre o alvo com uma camada de gelo, deixando-o paralisado por 1d4 rodadas. O alvo pode refazer o teste de Fortitude no final de seus turnos para quebrar o gelo e se livrar da condição. Passar no teste de resistência reduz o dano pela metade e deixa o alvo enredado por uma rodada.	Dragão Brasil	1	como parte da execução da magia, você pode fazer um ataque corpo a corpo contra o alvo. Se acertar, causa o dano do ataque e da magia.	2	aumenta o dano em +2d8.																						
Bênção da Dragoa Rainha	Universal	4	Trans	completa	pessoal	você		sustentada		Sua pele se torna branca como a neve e você manifesta um par de asas e uma coroa feitas de gelo cristalino que flutuam rentes ao seu corpo. Você recebe deslocamento de voo 18m, imunidade a fogo e frio e resistência a dano não mágico 15. Suas magias que causam dano de frio têm seu dano maximizado, mas você fica impedido de lançar magias que causam dano de fogo.	Dragão Brasil																										
Pântano Vitriólico	Arcana	4	Trans	padrão	médio (30m 20q)		círculo de 15m de raio	cena	Reflexos reduz à metade	Você transforma o solo da área em um lodo viscoso ácido e pegajoso. Criaturas na área quando a magia é lançada sofrem 5d8 pontos de dano de ácido e ficam enredadas; passar no teste de resistência reduz o dano pela metade e evita a condição. Uma vítima presa pode usar uma ação padrão para fazer um teste de Atletismo (CD igual à da magia). Se passar, se liberta. Uma criatura sofre esse efeito novamente quando termina seu turno dentro da área afetada. O espaço ocupado pelo pântano é considerado terreno difícil e deslocar-se dentro da área causa 1d8 pontos de dano de ácido para cada 1,5m percorridos.	Dragão Brasil	2	aumenta o dano inicial e o dano do deslocamento em +1d8	5	além do normal, o pântano exala gases com efeitos alucinógenos. Criaturas que falham no teste de Fortitude ficam confusas por uma rodada.																						
Raio de Plasma	Arcana	4	Evoc	padrão	médio (30m 20q)		linha	instantânea	Fortitude reduz à metade	Você dispara uma rajada luminosa superaquecida que causa 10d8 pontos de dano de fogo em todas as criaturas e objetos livres na área. O raio é capaz de derreter qualquer barreira física, seja de madeira, pedra ou metal, atingindo mesmo alvos fora de sua linha de visão.	Dragão Brasil	2	aumenta o dano em +2d8.	2	muda o alcance para pessoal, a área para “Efeito: espada de plasma”, a duração para sustentada e a resistência para “Reflexos reduz à metade”. Ao invés do normal, você condensa a rajada na forma de uma espada de plasma que emite luz (alcance curto) e calor intensos. Você pode usar uma ação padrão para atingir um alvo adjacente com a espada, que causa 10d8 pontos de dano de fogo e ignora a resistência a dano de objetos. Sua mão que “empunha” a espada é considerada ocupada.																						
Velocidade do Relâmpago	Arcana	4	Trans	padrão	pessoal	você		sustentada	Reflexos reduz à metade	Seus olhos passam a emanar luz branca e minúsculos raios de eletricidade. Enquanto esta magia durar, você pode usar uma ação de movimento para se teletransportar até 12m em linha reta para qualquer direção, deixando um “rastro” de eletricidade no caminho. Criaturas que você atravessar sofrem 6d8 pontos de dano de eletricidade.	Dragão Brasil	2	aumenta o dano em +2d8.	5	muda o deslocamento do teletransporte para 15m e você pode fazer curvas durante o movimento. Entretanto, você não pode passar duas vezes pelo mesmo espaço em cada ação de movimento.																						
Arma de Jade	Divina	1	Trans	padrão	toque	1 arma		cena		Esta magia ofertada por Lin-Wu trasnfere temporariamente para uma arma as qualdades místicas do jade, um raro material de Tamu-ra. A arma é considerada mágica, pode ser sacada e guardada como ação livre e fornece +1 nos testes de ataque e rolagens de dano (isso conta como um bônus de encanto). Contra espíritos, os bônus fornecidos pela magia são dobrados.	Deuses de Arton v0.8	1	a arma causa +1d4 de dano de eletricidade.	2	aumenta o bônus de ataque e dano em +1 (bônus máximo limitado pelo círculo máximo de magia que você pode lançar).	2	muda o bônus de dano do aprimoramento acima para +2d4. <i>Apenas Devotos de LinWu.</i>.																				
Arsenal de Allihanna	Divina	1	Conv	padrão	pessoal	arma criada em sua mão		cena		Outrora chamada <i>Armamento de Allihanna</i>, esta magia recentemente recebeu um novo nome — com implicações curiosas. Utilizada pela primeira vez por Lisandra de Galrasia, diz-se que a verdadeira origem da magia estaria relacionada a seu pai, Arsenal, então mortal.<br>Você invoca uma arma a sua escolha, em uma versão de madeira mágica que fornece +1 nos testes de ataque e rolagens de dano (isso conta como um bônus de encanto) e conta como uma arma primitiva para efeitos como a magia <i>Armamento da Natureza</i>. Se for uma arma de disparo, ela produz sua própria munição (mas você pode usar munição normal, se quiser). <i>Arsenal de Allihanna</i> não cria armas complexas (como bestas ou armas de fogo) e seus efeitos só funcionam em suas mãos.	Deuses de Arton v0.8	2	aumenta o bônus em +1 (bônus máximo limitado pelo círculo máximo de magia que você pode lançar).	2	a arma, ou sua munição, é recoberta de espinhos. Ela causa +1d6 pontos de dano e o alvo do ataque fica sangrando.	3	muda o alvo para uma planta. A planta manifesta uma arma corpo a corpo simples de madeira de Tollon e uma armadura de couro batido reforçada. Alternativamente, se tiver o suplemento <i>Ameaças de Arton</i>, ela manifesta uma Espada Espinhenta ou um Fruto da Espada-Mãe (p. 245). Em ambos os casos, os itens permanecem pela duração da magia. Requer 2º círculo. <i>Apenas Devotos de Allihanna ou Dahllan.</i>																				
Bofetada de Nimb	Divina	1	Evoc	padrão	curto (9m 6q)	1 humanoide		instantânea	Vontade parcial	Uma mão mágica surge diante do alvo e o esbofeteia na face, ou em outra parte vulnerável, desaparecendo em seguida. O golpe não causa dano, mas é bastante humilhante. Se o alvo falhar na resistência, fica desprevenido por uma rodada e vulnerável; se passar, fica apenas vulnerável por uma rodada.	Deuses de Arton v0.8	1	alvos que falhem na resistência ficam vulneráveis pela cena.	2	muda o alvo para 1 criatura.	2	em vez do normal, a mão dá leves tapinhas que acalmam os alvos e anulam uma condição entre abalado, alquebrado, apavorado e frustrado. Requer 2° círculo.	3	alvos que falhem na resistência ficam desprevenidos por 1d4+1 rodadas, em vez de apenas 1.	5	afeta todos os alvos válidos à sua escolha dentro do alcance. <i>Apenas Devotos de Nimb.</i>																
Couraça de Allihanna	Divina	2	Abjur	padrão	toque	1 armadura ou vestuário		cena		Lisandra de Galrasia foi a primeira a manifestar uma armadura fibrosa, mas hoje outros podem fazer o mesmo. Esta magia transforma o alvo em uma couraça arbórea. Se for uma armadura, seu bônus na Defesa aumenta em +2 e se for um vestuário, ele passa a fornecer +2 na Defesa (não cumulativo com armadura). Os efeitos dessa magia contam como um bônus de encanto e ela só pode ser lançada em terrenos naturais. Dahllan recebem 1 PM para usar em aprimoramentos ao lançá-la.	Deuses de Arton v0.8	1	aumenta a Defesa em +1 (bônus máximo limitado pelo círculo máximo de magia que você pode lançar).	2	além do normal, suas magias de Evoc e Trans custam –1 PM.	2	o alvo é recoberto por folhas e galhos. Você recebe +5 em testes de furtividade e pode se esconder mesmo sem camuflagem ou cobertura disponível.	2	além do normal, o alvo fornece o mesmo bônus em testes de resistência. Requer 3° círculo.	3	além do normal, o alvo é recoberto esporos de cogumelo. Quando uma criatura faz um ataque corpo a corpo contra você, ela deve fazer um teste de Fortitude (CD da magia). Se falhar, fica paralisada por 1 rodada (apenas uma vez por cena) e lenta. Se passar, fica lenta por 1 rodada. Requer 3° círculo.																
Escapatória de Hyninn	Divina	1	Abjur	reação	pessoal	você		instantânea		Por um breve instante, você adquire uma agilidade espantosa para se esquivar de algum perigo súbito. Você recebe +5 em Reflexos e em testes de Ladinagem para desarmar armadilhas.	Deuses de Arton v0.8	2	muda o alcance para toque e o alvo para 1 criatura. Requer 2º círculo.	5	muda a execução para padrão e a duração para cena. Requer 2º círculo.	2	além do normal, o alvo pode usar a habilidade Evasão (Tormenta20, p. 73). <i>Apenas Devotos de Hyninn.</i>	4	como acima, mas o alvo pode usar Evasão Aprimorada (Tormenta20, p. 75). Requer 4° círculo. <i>Apenas Devotos de Hyninn.</i>																		
Euforia de Valkaria	Divina	1	Encan	padrão	pessoal	você		cena		Esta magia enche o alvo de disposição, apagando o medo (e bom senso) em seu coração e impedindo-o de ser intimidado por desafios difíceis.<br>O alvo se torna imune a medo e recebe +1 em testes de ataque quando luta em desvantagem (um encontro contra o dobro de inimigos que seu grupo, ou com ND maior que o do grupo).	Deuses de Arton v0.8	2	aumenta o bônus em testes de ataque em +1 (bônus máximo limitado pelo círculo máximo de magia que você pode lançar).	2	muda a execução para reação e a duração para instantânea. Em vez do normal, você recebe imunidade a medo e +2 em Vontade até o início do seu próximo turno. Requer 2° círculo.	2	muda o alvo para área de esfera com 3m de raio. Você e todos os aliados na área são afetados pela magia. Requer 2º círculo.	1	muda o alcance para toque e o alvo para 1 criatura. <i>Apenas Devotos de Valkaria.</i>																		
Execução de Thwor	Divina	1	Necro	movimento	curto (9m 6q)	1 humanoide		1 rodada	Vontade anula	Esta magia afeta apenas criaturas sob um efeito de medo. O próximo ataque que acertar cada um dos alvos se transforma em um acerto crítico. Se o ataque for um acerto crítico naturalmente, seu multiplicador aumenta em +1.	Deuses de Arton v0.8	2	muda o alvo para 1 criatura. Requer 2º círculo.	5	em vez do normal, afeta alvos sob qualquer condição mental. Requer 3º círculo.	6	em vez de acerto crítico, o ataque é considerado um golpe de misericórdia. Requer 5º círculo. <i>Apenas Devotos de Thwor</i>																				
Flecha de Luz	Universal	1	Evoc	padrão	médio (30m 20q)	1 criatura		instantânea	Reflexos parcial	Esta magia lança uma flecha luminosa contra o alvo, que sofre 2d8+2 pontos de dano de luz e fica ofuscado por 1 rodada. Passar no teste de resistência reduz o dano à metade e evita a condição.	Deuses de Arton v0.8	1	muda o alvo para uma criatura que tenha causado dano a você ou a seus aliados na última rodada. Cada dado de dano (incluindo de aprimoramentos) muda para d10.	2	aumenta o dano em +1d8+1.	2	aumenta o número de alvos em +1 (número de alvos adicionais limitado pelo círculo máximo de magia que você pode lançar).	2	alvos que falhem na resistência ficam cegos por 1 rodada e então ofuscados. <i>Apenas Arcanos.</i>	3	muda o alvo para seu arco arcano, a duração para sustentada e a resistência para nenhuma. Em vez do normal, transforma o alvo em uma arma luminosa que causa +2d8+2 pontos de dano de luz. Criaturas que sofram dano do arco ficam ofuscadas (veja Heróis de Arton, p. @@). <i>Apenas Arqueiros de Lenórienn.</i>	1	muda o alvo para 1 duyshidakk, devoto de Aharadak ou devoto de Thwor. Muda os dados de dano para d10. <i>Apenas Devotos de Glórienn ou Elfos.</i>	2	além do normal, para cada alvo que falhar na resistência, o próximo aliado que causar dano a ele recebe uma quantidade de PV temporários igual à metade do dano causado pela magia. <i>Apenas Divinos.</i>												
Frescor de Lena	Divina	1	Abjur	padrão	pessoal		raio de 9m	instantânea		Você emana uma aura luminosa e refrescante, que envolve você e aliados ao seu redor. A aura purifica completamente o ar ao redor, eliminando todo tipo de fumaça, poeira, gás nocivo, nuvem ácida ou veneno respiratório, mundano ou mágico. Quaisquer destes efeitos que exijam um teste de Fortitude com CD 20 ou menor são dissipados.	Deuses de Arton v0.8	2	aumenta a CD dos efeitos dissipados em +5.	2	muda o alcance para toque, o alvo para 1 criatura e a duração para cena. Em vez do normal, remove uma doença do alvo. Requer 2° círculo.	3	como acima, mas o alvo rola dois dados para o teste de Fortitude e usa o melhor resultado. Requer 3° círculo. <i>Apenas Devotos de Lena.</i>	5	muda o alcance para toque e o alvo para 1 criatura. O alvo recupera 1 ponto de atributo perdido por uma doença. Requer 5° círculo. <i>Apenas Devotos de Lena.</i>																		
Fúria dos Antepassados	Divina	1	Evoc	padrão	curto (9m 6q)	1 humanoide		instantânea	Vontade reduz à metade	Para aqueles devotados a Lin-Wu, respeito aos ancestrais é algo levado muito a sério — pois no além-vida, eles podem julgar suas ações e trazer fortuna ou desgraça. Esta magia invoca a alma e um antepassado da vítima para acusá-la de erros passados e trazer punição. O alvo sofre 1d6 pontos de dano psíquico e 1d6 pontos de dano de luz.	Deuses de Arton v0.8	2	além do normal, alvos que falhem na resistência ficam alquebrados.	2	aumenta o número de alvos em +1. Requer 2° círculo.	3	aumenta o dano psíquico e de luz em +1d6 cada.	1	muda o alvo para 1 criatura inteligente (Int –3 ou maior). <i>Apenas Devotos de Lin-Wu.</i>																		
Futuro Melhor	Divina	1	Adiv	reação	pessoal	você		1 rodada		Esta magia permite enxergar todas as possibilidades e consequências de um evento muito recente, ainda a tempo de escolher o melhor caminho. O alvo recebe +2 em um teste de perícia que recém tenha rolado, mas cujo resultado o mestre ainda não tenha declarado.	Deuses de Arton v0.8	2	muda o alcance para curto e o alvo para uma criatura. Requer 2º círculo.	1	como acima, mas o bônus se torna 1d4+2. <i>Apenas Devotos de Thyatis.</i>																						
Infortúnio de Sszzaas	Divina	1	Necro	padrão	curto (9m 6q)	1 criatura		cena	Vontade anula	Esta maldição menor reduz a resiliência de seus inimigos, tornando-os mais frágeis e suscetíveis a efeitos nocivos. O alvo sofre –2 em testes de sua resistência com menor valor.	Deuses de Arton v0.8	1	além do normal, criaturas afetadas perdem imunidade a venenos por uma rodada. Requer 2° círculo.	2	aumenta a penalidade em –1 (penalidade máxima limitada pelo círculo máximo de magia que você pode lançar).	3	além do normal, quando o alvo morre, deixa para trás um pequeno cristal com memórias e segredos profundos. Uma vez por busca (Tormenta20, p. 278), você pode quebrar um desses cristais para receber +2 em um teste de perícia. Requer 3° círculo. <i>Apenas Devotos de Sszzaas.</i>																				
Instante Estoico	Divina	1	Abjur	reação	pessoal	você		instantânea		Invocando a proteção de Khalmyr, você resiste a agressões potencialmente perigosas. Quando sofre dano não mágico, você recebe RD 10 contra esse dano.	Deuses de Arton v0.8	1	muda a RD para 20. Requer 2° círculo.	2	além do normal, para cada 10 pontos de dano que a magia reduzir em um turno, sua próxima rolagem de dano feita até a próxima rodada causa +1d6 pontos de dano de essência.	1	muda a execução para padrão e a duração para cena, até ser descarregada. Em vez do normal, quando sofre dano não mágico, você pode receber RD 10 contra esse dano. A magia é descarregada após você usar este efeito pela terceira vez. Requer 3º círculo. <i>Apenas Devotos de Khalmyr.</i>	2	muda o alcance para toque e o alvo para 1 criatura. <i>Apenas Devotos de Khalmyr.</i>																		
Magia Dadivosa	Divina	1	Conv	padrão	pessoal	você		cena		Não é comum descrever uma divindade maior do Panteão como “maluquinha”. Contudo, há ocasiões em que Wynna faz por merecer. Como quando oferece estas dádivas caóticas. Pela duração da magia, a cada 1d8 rodadas, você recebe 1 PM temporário que só pode ser gasto em aprimoramentos de magias. A magia termina quando você recebe um total de 8 PM temporários.	Deuses de Arton v0.8	1	muda o alcance para curto e o alvo para 1 criatura. Requer 3° círculo.	0	em vez do normal, você recebe 1 PM temporário a cada 1d6 rodadas. <i>Apenas Devotos de Wynna.</i>																						
Orbe do Oceano	Divina	1	Abjur	reação	pessoal	você		1 turno		O suposto desaparecimento do Oceano mostra-se particularmente misterioso pelo fato de que seus devotos ainda podem lançar magias. Quando sofre um efeito hostil, você cria um globo de água salgada que o protege como se você estivesse submerso. Você recebe camuflagem leve e cobertura leve e armas de corte e perfuração que não sejam naturais lhe causam metade do dano. Além disso, ataques contra ele sofrem os efeitos de combate debaixo d'água.	Deuses de Arton v0.8	1	muda a duração para sustentada.	3	muda a duração para cena. Requer 3° círculo.	5	muda o alcance para curto, o alvo para uma criatura, a duração para sustentada e adiciona resistência (Reflexos evita). Em vez do normal, o alvo fica aprisionado dentro de um globo de água salgada; ele é considerado submerso e não pode respirar (a menos que possa respirar dentro d'água). Nenhuma criatura, objeto ou efeito de dano pode passar pelo globo. O alvo pode repetir o teste de Reflexos sempre que você se concentrar na magia. Requer 3º círculo. <i>Apenas Devotos de Oceano.</i>																				
Paixão de Marah	Divina	1	Encan	padrão	pessoal	você		cena		Você é cercado por uma aura de magnetismo pessoal que o torna mais interessante e atraente aos olhos dos demais. O alvo recebe +2 em Atuação e Diplomacia.	Deuses de Arton v0.8	1	muda o alcance para curto e o alvo para 1 criatura.	1	além do normal, o alvo recebe +1 em Carisma. Esse aumento não oferece PV, PM ou perícias adicionais. <i>Apenas Devotos de Marah.</i>	3	muda a duração para 1 dia. Requer 2º círculo. <i>Apenas Devotos de Marah.</i>																				
Percepção Rubra	Universal	1	Adiv	padrão	pessoal	você		cena		Esta magia concedida por Aharadak faz o conjurador adquirir, por algum tempo, a estranha percepção de tempo dos lefeu — que permite ver alguns momentos no futuro. O alvo recebe +1 em testes de ataque, Reflexos e na Defesa.	Deuses de Arton v0.8	1	muda o alcance para curto e o alvo para 1 criatura.	2	aumenta o bônus em +1 (bônus máximo limitado por sua Sabedoria). <i>Apenas Devotos de Aharadak.</i>																						
Perturbação Sombria	Divina	1	Ilusão	padrão	pessoal		raio de 6m	cena		Invocando a proteção de Tenebra, você emana uma aura de sombras assustadora. A área é tomada por sombras que se movem de formas estranhas, rangidos e gemidos sem explicação, vultos fugidios nas janelas, faces macabras urrando para sumir no instante seguinte. Todas as demais criaturas na área sofrem –5 em testes de Percepção. Medo.	Deuses de Arton v0.8	2	muda o efeito para aura de 9m.	2	adiciona resistência (Vontade parcial). Além do normal, criaturas que começam seu turno dentro da área ficam abaladas. Passar no teste de resistência evita a condição e impede que a criatura seja abalada por esta magia até o fim da cena. Requer 2° círculo.	2	além do normal, criaturas na área sofrem –2 em Vontade. Requer 3° círculo.	5	muda o alcance para toque e o alvo para 1 criatura ou objeto.	5	você pode escolher quais criaturas são afetadas pela aura. Requer 2º círculo.	9	muda o alvo para área (esfera de 6m de raio), a execução para 1 hora, a duração para permanente e adiciona componente material (incenso e óleos no valor de T$ 1.000). Requer 5° círculo.	4	além do normal, a aura é tomada por escuridão que concede camuflagem leve a todos dentro dela. Mortos-vivos e devotos de Tenebra recebem +2 em testes de perícia dentro da área. <i>Apenas Devotos de Tenebra.</i>												
Poder de Kallyadranoch	Divina	1	Evoc	movimento	pessoal	você		1 minuto		Por um breve momento, você manifesta uma pequena parte da força e majestade das grandes feras dracônicas: a capacidade de criar elementos em sua forma mais pura. Até o fim do seu turno, a CD para resistir às suas habilidades mágicas que causam dano de ácido, eletricidade, fogo ou frio aumenta em +2.	Deuses de Arton v0.8	2	aumenta a CD em +1, limitada pelo círculo máximo de magias que você pode lançar. Requer 3° círculo.	1	além do normal, criaturas que falhem nos testes de resistência contra suas habilidades mágicas sofrem uma condição baseada no tipo de dano.<br><i>Ácido:</i> vulnerável até o fim da cena.<br><i>Eletricidade:</i> atordoado por 1 rodada (apenas uma vez por cena).<br><i>Fogo:</i> em chamas e vulnerável enquanto estiver em chamas.<br><i>Frio:</i> lento até o fim da cena.<br>Requer 2° círculo. <i>Apenas Devotos de Kallyadranoch.</i>																						
Posse de Arsenal	Divina	1	Conv	padrão	pessoal	1 item empunhado		1 dia		Esta magia cria um vínculo poderoso entre você e seus pertences, dificultando sua perda ou roubo. Você recebe +5 em testes opostos contra tentativas de desarmá-lo ou de quebrar o alvo, e recebe +5 em testes de Percepção contra testes de Ladinagem para roubar o item. Além disso, se o item estiver em alcance curto, você pode invocá-lo de volta às suas mãos como uma ação livre. Esta magia não afeta itens descartados ou entregues de forma voluntária (incluindo armas arremessadas).	Deuses de Arton v0.8	2	afeta armas arremessadas. Após o ataque, se a arma estiver livre, ela volta voando para você; pegá-la é uma reação. <i>Apenas Devotos de Arsenal.</i>																								
